from_id,to_id,fromid_toid,route_number,at,from_x,from_y,to_x,to_y,total_route_time,route_time,route_distance,route_total_lines
5861326,5864982,5861326_5864982,1,08:34:00,24.9704379,60.3119173,24.631686,60.3018197,180,145,40079.6,2
5861326,5864983,5861326_5864983,1,08:41:00,24.9704379,60.3119173,24.6362055,60.3019002,139,113,29977.4,3
5861326,5864984,5861326_5864984,1,08:41:00,24.9704379,60.3119173,24.640725,60.3019806,135,109,29717.3,3
5861326,5864985,5861326_5864985,1,08:23:00,24.9704379,60.3119173,24.6452445,60.3020608,130,105,27706.3,3
5861326,5864986,5861326_5864986,1,08:23:00,24.9704379,60.3119173,24.6497641,60.3021408,125,101,27361.9,3
5861326,5864987,5861326_5864987,1,08:23:00,24.9704379,60.3119173,24.6542837,60.3022207,127,102,27448.8,3
5861326,5864988,5861326_5864988,1,08:23:00,24.9704379,60.3119173,24.6588033,60.3023004,113,89,26521.3,3
5861326,5864989,5861326_5864989,1,08:23:00,24.9704379,60.3119173,24.663323,60.30238,111,86,26313.8,3
5861326,5864990,5861326_5864990,1,08:23:00,24.9704379,60.3119173,24.6678426,60.3024594,105,80,25923,3
5861326,5864991,5861326_5864991,1,08:23:00,24.9704379,60.3119173,24.6723623,60.3025387,102,77,25711.4,3
5861326,5864992,5861326_5864992,1,08:23:00,24.9704379,60.3119173,24.676882,60.3026178,100,75,25567.1,3
5861326,5864993,5861326_5864993,1,08:23:00,24.9704379,60.3119173,24.6814018,60.3026968,97,72,25351.5,3
5861326,5864994,5861326_5864994,1,08:23:00,24.9704379,60.3119173,24.6859216,60.3027756,101,76,25670.4,3
5861326,5864995,5861326_5864995,1,08:23:00,24.9704379,60.3119173,24.6904414,60.3028542,90,64,24474.8,3
5861326,5864996,5861326_5864996,1,08:23:00,24.9704379,60.3119173,24.6949612,60.3029327,88,62,24322.5,3
5861326,5864997,5861326_5864997,1,08:23:00,24.9704379,60.3119173,24.699481,60.3030111,88,63,24354.5,3
5861326,5864998,5861326_5864998,1,08:23:00,24.9704379,60.3119173,24.7040009,60.3030893,91,68,24698.6,3
5861326,5864999,5861326_5864999,1,08:23:00,24.9704379,60.3119173,24.7085208,60.3031673,92,66,24593.5,3
